Pattern_Rank,Student_ID,Grade_Level,Section,Total_Sessions,Present_Count,Absence_Count,Attendance_Rate,Absence_Frequency,Distinct_Absent_Days,First_Half_Attendance_Rate,Second_Half_Attendance_Rate,Attendance_Trend_Change,Lowest_Attendance_Subject,Lowest_Subject_Attendance_Rate,Total_Observed_Weeks,Weeks_With_Absence,Proportion_Weeks_With_Absence,Longest_Consecutive_Days_With_Any_Absence,Highest_Absence_Weekday,Highest_Weekday_Absence_Rate
320,ENHS_SYN_0521,Grade 10,Section B,299,272,27,0.9097,0.0903,22,0.8993,0.92,0.0207,Subject C,0.8644,12,12,1.0,5,Friday,0.1356
321,ENHS_SYN_0095,Grade 7,Section B,300,274,26,0.9133,0.0867,23,0.9,0.9267,0.0267,Subject C,0.8667,12,12,1.0,4,Thursday,0.1167
322,ENHS_SYN_0192,Grade 8,Section A,299,274,25,0.9164,0.0836,23,0.9133,0.9195,0.0061,Subject E,0.85,12,12,1.0,3,Tuesday,0.1
323,ENHS_SYN_0276,Grade 8,Section C,300,275,25,0.9167,0.0833,22,0.9,0.9333,0.0333,Subject D,0.85,12,12,1.0,3,Friday,0.1167
324,ENHS_SYN_0479,Grade 10,Section A,299,274,25,0.9164,0.0836,20,0.9195,0.9133,-0.0061,Subject B,0.9,12,12,1.0,3,Friday,0.2
325,ENHS_SYN_0525,Grade 10,Section B,300,275,25,0.9167,0.0833,23,0.94,0.8933,-0.0467,Subject C,0.8833,12,12,1.0,4,Monday,0.15
326,ENHS_SYN_0266,Grade 8,Section C,299,276,23,0.9231,0.0769,19,0.9262,0.92,-0.0062,Subject C,0.8814,12,12,1.0,2,Friday,0.1167
327,ENHS_SYN_0290,Grade 8,Section C,300,278,22,0.9267,0.0733,18,0.9467,0.9067,-0.04,Subject C,0.9167,12,12,1.0,2,Tuesday,0.1
328,ENHS_SYN_0236,Grade 8,Section B,300,279,21,0.93,0.07,20,0.9133,0.9467,0.0333,Subject D,0.9,12,12,1.0,3,Friday,0.1167
329,ENHS_SYN_0500,Grade 10,Section A,300,279,21,0.93,0.07,19,0.9267,0.9333,0.0067,Subject D,0.8667,12,12,1.0,4,Tuesday,0.1
330,ENHS_SYN_0372,Grade 9,Section B,299,229,70,0.7659,0.2341,41,0.7315,0.8,0.0685,Subject B,0.7333,12,11,0.9167,6,Thursday,0.2833
331,ENHS_SYN_0564,Grade 10,Section C,300,230,70,0.7667,0.2333,43,0.7933,0.74,-0.0533,Subject C,0.7167,12,11,0.9167,12,Monday,0.2833
332,ENHS_SYN_0224,Grade 8,Section B,298,237,61,0.7953,0.2047,41,0.8121,0.7785,-0.0336,Subject D,0.6833,12,11,0.9167,16,Friday,0.25
333,ENHS_SYN_0023,Grade 7,Section A,300,243,57,0.81,0.19,33,0.8333,0.7867,-0.0467,Subject A,0.7833,12,11,0.9167,7,Monday,0.2333
334,ENHS_SYN_0416,Grade 9,Section C,300,244,56,0.8133,0.1867,37,0.84,0.7867,-0.0533,Subject B,0.7167,12,11,0.9167,9,Wednesday,0.2333
335,ENHS_SYN_0028,Grade 7,Section A,299,244,55,0.8161,0.1839,33,0.8133,0.8188,0.0055,Subject A,0.7667,12,11,0.9167,9,Thursday,0.2833
336,ENHS_SYN_0043,Grade 7,Section A,300,248,52,0.8267,0.1733,34,0.86,0.7933,-0.0667,Subject E,0.8,12,11,0.9167,7,Wednesday,0.2333
337,ENHS_SYN_0258,Grade 8,Section C,300,248,52,0.8267,0.1733,37,0.86,0.7933,-0.0667,Subject E,0.75,12,11,0.9167,9,Wednesday,0.2333
338,ENHS_SYN_0441,Grade 9,Section C,299,247,52,0.8261,0.1739,36,0.8267,0.8255,-0.0012,Subject C,0.7833,12,11,0.9167,7,Friday,0.1833
339,ENHS_SYN_0524,Grade 10,Section B,300,255,45,0.85,0.15,35,0.84,0.86,0.02,Subject B,0.7833,12,11,0.9167,13,Thursday,0.1833
340,ENHS_SYN_0263,Grade 8,Section C,300,256,44,0.8533,0.1467,34,0.8533,0.8533,0.0,Subject D,0.8167,12,11,0.9167,6,Monday,0.2
341,ENHS_SYN_0385,Grade 9,Section B,300,256,44,0.8533,0.1467,30,0.8933,0.8133,-0.08,Subject B,0.8167,12,11,0.9167,5,Monday,0.2
342,ENHS_SYN_0231,Grade 8,Section B,299,256,43,0.8562,0.1438,34,0.9,0.8121,-0.0879,Subject E,0.8,12,11,0.9167,7,Friday,0.1695
343,ENHS_SYN_0531,Grade 10,Section B,300,258,42,0.86,0.14,33,0.8467,0.8733,0.0267,Subject D,0.8,12,11,0.9167,7,Tuesday,0.1667
344,ENHS_SYN_0535,Grade 10,Section B,300,258,42,0.86,0.14,29,0.86,0.86,0.0,Subject D,0.8167,12,11,0.9167,8,Tuesday,0.2167
345,ENHS_SYN_0001,Grade 7,Section A,300,259,41,0.8633,0.1367,31,0.8667,0.86,-0.0067,Subject B,0.8333,12,11,0.9167,5,Friday,0.1667
346,ENHS_SYN_0057,Grade 7,Section B,300,259,41,0.8633,0.1367,28,0.8867,0.84,-0.0467,Subject D,0.8,12,11,0.9167,7,Friday,0.2333
347,ENHS_SYN_0092,Grade 7,Section B,299,258,41,0.8629,0.1371,31,0.8523,0.8733,0.021,Subject E,0.7667,12,11,0.9167,4,Friday,0.2
348,ENHS_SYN_0158,Grade 8,Section A,299,259,40,0.8662,0.1338,29,0.88,0.8523,-0.0277,Subject D,0.8136,12,11,0.9167,6,Friday,0.2
349,ENHS_SYN_0178,Grade 8,Section A,300,261,39,0.87,0.13,33,0.8933,0.8467,-0.0467,Subject B,0.8333,12,11,0.9167,7,Thursday,0.2
350,ENHS_SYN_0084,Grade 7,Section B,300,262,38,0.8733,0.1267,29,0.86,0.8867,0.0267,Subject D,0.8167,12,11,0.9167,4,Tuesday,0.1833
351,ENHS_SYN_0480,Grade 10,Section A,299,261,38,0.8729,0.1271,28,0.8725,0.8733,0.0009,Subject D,0.7667,12,11,0.9167,7,Monday,0.2
352,ENHS_SYN_0566,Grade 10,Section C,300,262,38,0.8733,0.1267,31,0.8867,0.86,-0.0267,Subject E,0.8333,12,11,0.9167,5,Friday,0.1833
353,ENHS_SYN_0089,Grade 7,Section B,300,263,37,0.8767,0.1233,26,0.8333,0.92,0.0867,Subject C,0.8167,12,11,0.9167,6,Tuesday,0.2
354,ENHS_SYN_0139,Grade 7,Section C,299,262,37,0.8763,0.1237,30,0.8456,0.9067,0.061,Subject A,0.8333,12,11,0.9167,5,Monday,0.1695
355,ENHS_SYN_0174,Grade 8,Section A,300,263,37,0.8767,0.1233,28,0.9067,0.8467,-0.06,Subject C,0.8,12,11,0.9167,5,Thursday,0.1833
356,ENHS_SYN_0252,Grade 8,Section C,299,262,37,0.8763,0.1237,28,0.88,0.8725,-0.0075,Subject D,0.8,12,11,0.9167,4,Thursday,0.15
357,ENHS_SYN_0262,Grade 8,Section C,298,262,36,0.8792,0.1208,28,0.86,0.8986,0.0386,Subject E,0.85,12,11,0.9167,5,Wednesday,0.1667
358,ENHS_SYN_0433,Grade 9,Section C,300,264,36,0.88,0.12,28,0.8667,0.8933,0.0267,Subject B,0.85,12,11,0.9167,6,Monday,0.1667
359,ENHS_SYN_0518,Grade 10,Section B,300,264,36,0.88,0.12,29,0.86,0.9,0.04,Subject A,0.8,12,11,0.9167,8,Friday,0.15
360,ENHS_SYN_0171,Grade 8,Section A,300,265,35,0.8833,0.1167,30,0.8667,0.9,0.0333,Subject B,0.8333,12,11,0.9167,7,Wednesday,0.2167
361,ENHS_SYN_0596,Grade 10,Section C,298,263,35,0.8826,0.1174,27,0.86,0.9054,0.0454,Subject E,0.7797,12,11,0.9167,5,Friday,0.2
362,ENHS_SYN_0282,Grade 8,Section C,300,266,34,0.8867,0.1133,29,0.8667,0.9067,0.04,Subject D,0.85,12,11,0.9167,5,Monday,0.15
363,ENHS_SYN_0340,Grade 9,Section A,300,266,34,0.8867,0.1133,28,0.8933,0.88,-0.0133,Subject A,0.85,12,11,0.9167,5,Thursday,0.1833
364,ENHS_SYN_0368,Grade 9,Section B,300,266,34,0.8867,0.1133,28,0.8933,0.88,-0.0133,Subject B,0.8667,12,11,0.9167,6,Friday,0.1833
365,ENHS_SYN_0403,Grade 9,Section C,299,265,34,0.8863,0.1137,29,0.906,0.8667,-0.0394,Subject D,0.8333,12,11,0.9167,7,Monday,0.15
366,ENHS_SYN_0595,Grade 10,Section C,299,265,34,0.8863,0.1137,25,0.8456,0.9267,0.081,Subject D,0.8667,12,11,0.9167,4,Wednesday,0.1667
367,ENHS_SYN_0228,Grade 8,Section B,300,267,33,0.89,0.11,24,0.8733,0.9067,0.0333,Subject A,0.85,12,11,0.9167,3,Monday,0.1333
368,ENHS_SYN_0453,Grade 10,Section A,300,267,33,0.89,0.11,28,0.8667,0.9133,0.0467,Subject B,0.85,12,11,0.9167,5,Monday,0.15
369,ENHS_SYN_0031,Grade 7,Section A,300,268,32,0.8933,0.1067,24,0.96,0.8267,-0.1333,Subject C,0.8667,12,11,0.9167,6,Monday,0.1833
370,ENHS_SYN_0289,Grade 8,Section C,299,267,32,0.893,0.107,28,0.9128,0.8733,-0.0394,Subject B,0.8644,12,11,0.9167,5,Tuesday,0.1186
371,ENHS_SYN_0349,Grade 9,Section A,299,267,32,0.893,0.107,27,0.8926,0.8933,0.0007,Subject A,0.8333,12,11,0.9167,4,Friday,0.1167
372,ENHS_SYN_0514,Grade 10,Section B,300,268,32,0.8933,0.1067,28,0.8867,0.9,0.0133,Subject D,0.8333,12,11,0.9167,4,Tuesday,0.1333
373,ENHS_SYN_0591,Grade 10,Section C,300,268,32,0.8933,0.1067,27,0.8933,0.8933,0.0,Subject C,0.85,12,11,0.9167,5,Wednesday,0.15
374,ENHS_SYN_0107,Grade 7,Section C,300,269,31,0.8967,0.1033,25,0.8867,0.9067,0.02,Subject E,0.85,12,11,0.9167,4,Friday,0.1667
375,ENHS_SYN_0205,Grade 8,Section B,300,269,31,0.8967,0.1033,25,0.9133,0.88,-0.0333,Subject D,0.85,12,11,0.9167,4,Monday,0.2
376,ENHS_SYN_0455,Grade 10,Section A,300,269,31,0.8967,0.1033,27,0.8867,0.9067,0.02,Subject A,0.8833,12,11,0.9167,7,Thursday,0.1333
377,ENHS_SYN_0493,Grade 10,Section A,300,269,31,0.8967,0.1033,23,0.9067,0.8867,-0.02,Subject E,0.8167,12,11,0.9167,3,Friday,0.15
378,ENHS_SYN_0010,Grade 7,Section A,299,269,30,0.8997,0.1003,26,0.8933,0.906,0.0127,Subject A,0.8333,12,11,0.9167,6,Monday,0.1667
379,ENHS_SYN_0097,Grade 7,Section B,300,270,30,0.9,0.1,24,0.9133,0.8867,-0.0267,Subject C,0.8333,12,11,0.9167,5,Thursday,0.15
380,ENHS_SYN_0120,Grade 7,Section C,299,269,30,0.8997,0.1003,25,0.906,0.8933,-0.0127,Subject C,0.8667,12,11,0.9167,3,Tuesday,0.1525
381,ENHS_SYN_0309,Grade 9,Section A,300,270,30,0.9,0.1,23,0.8733,0.9267,0.0533,Subject E,0.85,12,11,0.9167,3,Monday,0.1167
382,ENHS_SYN_0325,Grade 9,Section A,298,268,30,0.8993,0.1007,26,0.8867,0.9122,0.0255,Subject E,0.8333,12,11,0.9167,8,Tuesday,0.1667
383,ENHS_SYN_0337,Grade 9,Section A,299,269,30,0.8997,0.1003,24,0.8658,0.9333,0.0676,Subject D,0.8644,12,11,0.9167,4,Monday,0.1525
384,ENHS_SYN_0424,Grade 9,Section C,300,270,30,0.9,0.1,27,0.9067,0.8933,-0.0133,Subject E,0.8333,12,11,0.9167,4,Monday,0.15
385,ENHS_SYN_0538,Grade 10,Section B,300,270,30,0.9,0.1,27,0.88,0.92,0.04,Subject B,0.8333,12,11,0.9167,4,Thursday,0.15
386,ENHS_SYN_0073,Grade 7,Section B,299,270,29,0.903,0.097,23,0.8993,0.9067,0.0073,Subject B,0.8667,12,11,0.9167,3,Tuesday,0.2
387,ENHS_SYN_0086,Grade 7,Section B,298,269,29,0.9027,0.0973,25,0.8933,0.9122,0.0188,Subject E,0.8475,12,11,0.9167,6,Monday,0.1864
388,ENHS_SYN_0301,Grade 9,Section A,300,271,29,0.9033,0.0967,24,0.9267,0.88,-0.0467,Subject E,0.85,12,11,0.9167,4,Friday,0.1167
389,ENHS_SYN_0456,Grade 10,Section A,299,270,29,0.903,0.097,22,0.8867,0.9195,0.0328,Subject D,0.8667,12,11,0.9167,4,Tuesday,0.1356
390,ENHS_SYN_0014,Grade 7,Section A,299,271,28,0.9064,0.0936,21,0.8926,0.92,0.0274,Subject C,0.8667,12,11,0.9167,5,Thursday,0.1833
391,ENHS_SYN_0153,Grade 8,Section A,300,272,28,0.9067,0.0933,23,0.92,0.8933,-0.0267,Subject B,0.8667,12,11,0.9167,4,Monday,0.1333
392,ENHS_SYN_0159,Grade 8,Section A,300,272,28,0.9067,0.0933,24,0.9067,0.9067,0.0,Subject A,0.8833,12,11,0.9167,5,Tuesday,0.1333
393,ENHS_SYN_0136,Grade 7,Section C,300,273,27,0.91,0.09,25,0.92,0.9,-0.02,Subject E,0.8333,12,11,0.9167,3,Monday,0.15
394,ENHS_SYN_0141,Grade 7,Section C,300,273,27,0.91,0.09,21,0.9067,0.9133,0.0067,Subject E,0.8333,12,11,0.9167,4,Wednesday,0.15
395,ENHS_SYN_0149,Grade 7,Section C,298,271,27,0.9094,0.0906,26,0.94,0.8784,-0.0616,Subject C,0.8793,12,11,0.9167,4,Wednesday,0.1333
396,ENHS_SYN_0307,Grade 9,Section A,299,272,27,0.9097,0.0903,23,0.94,0.8792,-0.0608,Subject E,0.85,12,11,0.9167,3,Monday,0.1017
397,ENHS_SYN_0346,Grade 9,Section A,300,273,27,0.91,0.09,24,0.9,0.92,0.02,Subject D,0.85,12,11,0.9167,4,Friday,0.1167
398,ENHS_SYN_0408,Grade 9,Section C,298,271,27,0.9094,0.0906,26,0.8993,0.9195,0.0201,Subject A,0.8833,12,11,0.9167,6,Friday,0.1333
399,ENHS_SYN_0445,Grade 9,Section C,300,273,27,0.91,0.09,25,0.9,0.92,0.02,Subject E,0.8833,12,11,0.9167,4,Thursday,0.1167
400,ENHS_SYN_0584,Grade 10,Section C,300,273,27,0.91,0.09,22,0.92,0.9,-0.02,Subject E,0.85,12,11,0.9167,5,Friday,0.15
401,ENHS_SYN_0052,Grade 7,Section B,300,274,26,0.9133,0.0867,24,0.92,0.9067,-0.0133,Subject B,0.85,12,11,0.9167,4,Wednesday,0.1167
402,ENHS_SYN_0113,Grade 7,Section C,300,274,26,0.9133,0.0867,23,0.9133,0.9133,0.0,Subject B,0.8833,12,11,0.9167,2,Thursday,0.1667
403,ENHS_SYN_0201,Grade 8,Section B,300,274,26,0.9133,0.0867,23,0.9333,0.8933,-0.04,Subject C,0.8667,12,11,0.9167,3,Friday,0.1167
404,ENHS_SYN_0399,Grade 9,Section B,299,273,26,0.913,0.087,19,0.9195,0.9067,-0.0128,Subject E,0.8833,12,11,0.9167,2,Wednesday,0.1333
405,ENHS_SYN_0040,Grade 7,Section A,298,273,25,0.9161,0.0839,23,0.9324,0.9,-0.0324,Subject D,0.8667,12,11,0.9167,3,Tuesday,0.1356
406,ENHS_SYN_0119,Grade 7,Section C,300,275,25,0.9167,0.0833,23,0.92,0.9133,-0.0067,Subject A,0.9,12,11,0.9167,3,Thursday,0.1167
407,ENHS_SYN_0130,Grade 7,Section C,300,275,25,0.9167,0.0833,20,0.9333,0.9,-0.0333,Subject C,0.8833,12,11,0.9167,5,Tuesday,0.1667
408,ENHS_SYN_0194,Grade 8,Section A,300,275,25,0.9167,0.0833,20,0.9133,0.92,0.0067,Subject D,0.8,12,11,0.9167,5,Friday,0.1667
409,ENHS_SYN_0272,Grade 8,Section C,300,275,25,0.9167,0.0833,22,0.9067,0.9267,0.02,Subject E,0.85,12,11,0.9167,2,Thursday,0.15
410,ENHS_SYN_0046,Grade 7,Section A,300,276,24,0.92,0.08,22,0.9067,0.9333,0.0267,Subject E,0.8833,12,11,0.9167,5,Friday,0.1167
411,ENHS_SYN_0166,Grade 8,Section A,300,276,24,0.92,0.08,20,0.9333,0.9067,-0.0267,Subject E,0.8,12,11,0.9167,2,Friday,0.1167
412,ENHS_SYN_0338,Grade 9,Section A,300,276,24,0.92,0.08,20,0.9267,0.9133,-0.0133,Subject D,0.8667,12,11,0.9167,3,Tuesday,0.1167
413,ENHS_SYN_0543,Grade 10,Section B,300,276,24,0.92,0.08,22,0.9,0.94,0.04,Subject C,0.8667,12,11,0.9167,4,Wednesday,0.1167
414,ENHS_SYN_0156,Grade 8,Section A,297,274,23,0.9226,0.0774,18,0.9392,0.906,-0.0331,Subject E,0.9,12,11,0.9167,2,Wednesday,0.1
415,ENHS_SYN_0226,Grade 8,Section B,299,276,23,0.9231,0.0769,22,0.8933,0.953,0.0597,Subject C,0.9,12,11,0.9167,6,Tuesday,0.1167
416,ENHS_SYN_0015,Grade 7,Section A,300,278,22,0.9267,0.0733,19,0.92,0.9333,0.0133,Subject E,0.85,12,11,0.9167,3,Monday,0.1333
417,ENHS_SYN_0078,Grade 7,Section B,299,277,22,0.9264,0.0736,18,0.9333,0.9195,-0.0139,Subject B,0.8833,12,11,0.9167,2,Friday,0.1186
418,ENHS_SYN_0259,Grade 8,Section C,299,277,22,0.9264,0.0736,19,0.9333,0.9195,-0.0139,Subject C,0.9,12,11,0.9167,4,Monday,0.1333
419,ENHS_SYN_0298,Grade 8,Section C,298,276,22,0.9262,0.0738,20,0.9257,0.9267,0.001,Subject E,0.8833,12,11,0.9167,4,Friday,0.0847
420,ENHS_SYN_0382,Grade 9,Section B,298,276,22,0.9262,0.0738,20,0.9396,0.9128,-0.0268,Subject A,0.85,12,11,0.9167,3,Monday,0.1356
421,ENHS_SYN_0478,Grade 10,Section A,300,278,22,0.9267,0.0733,18,0.9467,0.9067,-0.04,Subject E,0.8833,12,11,0.9167,3,Monday,0.15
422,ENHS_SYN_0546,Grade 10,Section B,300,278,22,0.9267,0.0733,21,0.94,0.9133,-0.0267,Subject D,0.8833,12,11,0.9167,4,Monday,0.1
423,ENHS_SYN_0569,Grade 10,Section C,299,278,21,0.9298,0.0702,19,0.9267,0.9329,0.0062,Subject E,0.8833,12,11,0.9167,2,Tuesday,0.1167
424,ENHS_SYN_0599,Grade 10,Section C,300,279,21,0.93,0.07,19,0.9333,0.9267,-0.0067,Subject A,0.8833,12,11,0.9167,3,Friday,0.1167
425,ENHS_SYN_0241,Grade 8,Section B,300,280,20,0.9333,0.0667,16,0.9267,0.94,0.0133,Subject C,0.8833,12,11,0.9167,2,Tuesday,0.1
426,ENHS_SYN_0273,Grade 8,Section C,300,280,20,0.9333,0.0667,19,0.9467,0.92,-0.0267,Subject C,0.9,12,11,0.9167,2,Tuesday,0.1167
427,ENHS_SYN_0470,Grade 10,Section A,299,279,20,0.9331,0.0669,19,0.9333,0.9329,-0.0004,Subject B,0.9,12,11,0.9167,4,Tuesday,0.1
428,ENHS_SYN_0398,Grade 9,Section B,300,281,19,0.9367,0.0633,17,0.9267,0.9467,0.02,Subject B,0.8833,12,11,0.9167,3,Wednesday,0.1
429,ENHS_SYN_0058,Grade 7,Section B,300,282,18,0.94,0.06,17,0.9267,0.9533,0.0267,Subject E,0.8833,12,11,0.9167,3,Tuesday,0.1
430,ENHS_SYN_0187,Grade 8,Section A,300,282,18,0.94,0.06,17,0.9267,0.9533,0.0267,Subject A,0.9333,12,11,0.9167,3,Thursday,0.1167
431,ENHS_SYN_0277,Grade 8,Section C,300,283,17,0.9433,0.0567,17,0.9533,0.9333,-0.02,Subject D,0.9,12,11,0.9167,2,Monday,0.0833
432,ENHS_SYN_0597,Grade 10,Section C,300,283,17,0.9433,0.0567,15,0.9333,0.9533,0.02,Subject B,0.8833,12,11,0.9167,2,Friday,0.1
433,ENHS_SYN_0295,Grade 8,Section C,299,283,16,0.9465,0.0535,15,0.9667,0.9262,-0.0405,Subject C,0.9167,12,11,0.9167,2,Friday,0.0833
434,ENHS_SYN_0287,Grade 8,Section C,300,285,15,0.95,0.05,15,0.96,0.94,-0.02,Subject B,0.9333,12,11,0.9167,2,Monday,0.0667
435,ENHS_SYN_0442,Grade 9,Section C,300,254,46,0.8467,0.1533,29,0.8533,0.84,-0.0133,Subject A,0.8167,12,10,0.8333,5,Monday,0.2167
436,ENHS_SYN_0311,Grade 9,Section A,300,264,36,0.88,0.12,26,0.8867,0.8733,-0.0133,Subject C,0.8333,12,10,0.8333,6,Friday,0.2
437,ENHS_SYN_0389,Grade 9,Section B,299,265,34,0.8863,0.1137,29,0.94,0.8322,-0.1078,Subject C,0.8305,12,10,0.8333,5,Thursday,0.15
438,ENHS_SYN_0447,Grade 9,Section C,300,268,32,0.8933,0.1067,22,0.8933,0.8933,0.0,Subject A,0.8667,12,10,0.8333,4,Friday,0.15
439,ENHS_SYN_0062,Grade 7,Section B,299,270,29,0.903,0.097,24,0.9128,0.8933,-0.0194,Subject A,0.8644,12,10,0.8333,5,Tuesday,0.15
440,ENHS_SYN_0345,Grade 9,Section A,300,271,29,0.9033,0.0967,24,0.8933,0.9133,0.02,Subject B,0.8667,12,10,0.8333,4,Friday,0.1167
441,ENHS_SYN_0039,Grade 7,Section A,300,273,27,0.91,0.09,22,0.9,0.92,0.02,Subject C,0.8833,12,10,0.8333,3,Friday,0.1167
442,ENHS_SYN_0116,Grade 7,Section C,300,273,27,0.91,0.09,22,0.9267,0.8933,-0.0333,Subject D,0.85,12,10,0.8333,4,Monday,0.1167
443,ENHS_SYN_0176,Grade 8,Section A,300,273,27,0.91,0.09,23,0.92,0.9,-0.02,Subject C,0.8833,12,10,0.8333,4,Thursday,0.15
444,ENHS_SYN_0065,Grade 7,Section B,300,274,26,0.9133,0.0867,20,0.88,0.9467,0.0667,Subject B,0.8667,12,10,0.8333,5,Friday,0.1333
445,ENHS_SYN_0066,Grade 7,Section B,300,274,26,0.9133,0.0867,20,0.9,0.9267,0.0267,Subject D,0.8667,12,10,0.8333,2,Monday,0.1167
446,ENHS_SYN_0133,Grade 7,Section C,299,273,26,0.913,0.087,22,0.9262,0.9,-0.0262,Subject C,0.8814,12,10,0.8333,3,Friday,0.1333
447,ENHS_SYN_0359,Grade 9,Section B,300,274,26,0.9133,0.0867,20,0.8867,0.94,0.0533,Subject B,0.8833,12,10,0.8333,4,Tuesday,0.1167
448,ENHS_SYN_0036,Grade 7,Section A,299,274,25,0.9164,0.0836,23,0.9262,0.9067,-0.0195,Subject E,0.8644,12,10,0.8333,5,Friday,0.1333
449,ENHS_SYN_0244,Grade 8,Section B,300,275,25,0.9167,0.0833,20,0.9067,0.9267,0.02,Subject C,0.9,12,10,0.8333,3,Monday,0.1167
450,ENHS_SYN_0297,Grade 8,Section C,300,275,25,0.9167,0.0833,21,0.9267,0.9067,-0.02,Subject C,0.85,12,10,0.8333,2,Friday,0.1667
451,ENHS_SYN_0379,Grade 9,Section B,300,275,25,0.9167,0.0833,23,0.9267,0.9067,-0.02,Subject B,0.8833,12,10,0.8333,3,Friday,0.1167
452,ENHS_SYN_0430,Grade 9,Section C,300,275,25,0.9167,0.0833,21,0.9067,0.9267,0.02,Subject D,0.8667,12,10,0.8333,3,Tuesday,0.1333
453,ENHS_SYN_0513,Grade 10,Section B,300,275,25,0.9167,0.0833,22,0.9067,0.9267,0.02,Subject D,0.9,12,10,0.8333,4,Monday,0.1167
454,ENHS_SYN_0587,Grade 10,Section C,300,275,25,0.9167,0.0833,23,0.9133,0.92,0.0067,Subject E,0.8833,12,10,0.8333,3,Tuesday,0.1167
455,ENHS_SYN_0011,Grade 7,Section A,298,274,24,0.9195,0.0805,21,0.9262,0.9128,-0.0134,Subject E,0.8667,12,10,0.8333,2,Thursday,0.1186
456,ENHS_SYN_0474,Grade 10,Section A,299,275,24,0.9197,0.0803,21,0.8933,0.9463,0.053,Subject E,0.8667,12,10,0.8333,5,Friday,0.1356
457,ENHS_SYN_0486,Grade 10,Section A,299,275,24,0.9197,0.0803,19,0.8926,0.9467,0.054,Subject D,0.8167,12,10,0.8333,3,Friday,0.1333
458,ENHS_SYN_0087,Grade 7,Section B,300,277,23,0.9233,0.0767,20,0.9333,0.9133,-0.02,Subject B,0.8667,12,10,0.8333,3,Monday,0.0833
459,ENHS_SYN_0122,Grade 7,Section C,298,275,23,0.9228,0.0772,21,0.9267,0.9189,-0.0077,Subject B,0.9153,12,10,0.8333,4,Thursday,0.1034
460,ENHS_SYN_0167,Grade 8,Section A,299,276,23,0.9231,0.0769,21,0.9333,0.9128,-0.0206,Subject D,0.8833,12,10,0.8333,3,Friday,0.1167
461,ENHS_SYN_0221,Grade 8,Section B,300,277,23,0.9233,0.0767,20,0.9333,0.9133,-0.02,Subject B,0.8333,12,10,0.8333,3,Monday,0.1167
462,ENHS_SYN_0377,Grade 9,Section B,300,277,23,0.9233,0.0767,22,0.96,0.8867,-0.0733,Subject C,0.8833,12,10,0.8333,4,Wednesday,0.1167
463,ENHS_SYN_0390,Grade 9,Section B,298,275,23,0.9228,0.0772,19,0.9467,0.8986,-0.048,Subject C,0.8814,12,10,0.8333,4,Monday,0.1186
464,ENHS_SYN_0457,Grade 10,Section A,300,277,23,0.9233,0.0767,19,0.9133,0.9333,0.02,Subject D,0.9,12,10,0.8333,3,Monday,0.1167
465,ENHS_SYN_0491,Grade 10,Section A,300,277,23,0.9233,0.0767,22,0.9333,0.9133,-0.02,Subject B,0.9,12,10,0.8333,3,Thursday,0.1167
466,ENHS_SYN_0081,Grade 7,Section B,300,278,22,0.9267,0.0733,19,0.94,0.9133,-0.0267,Subject D,0.8833,12,10,0.8333,4,Thursday,0.1167
467,ENHS_SYN_0157,Grade 8,Section A,299,277,22,0.9264,0.0736,18,0.9128,0.94,0.0272,Subject A,0.8833,12,10,0.8333,3,Thursday,0.1186
468,ENHS_SYN_0243,Grade 8,Section B,299,277,22,0.9264,0.0736,20,0.9329,0.92,-0.0129,Subject C,0.85,12,10,0.8333,4,Thursday,0.1
469,ENHS_SYN_0296,Grade 8,Section C,299,277,22,0.9264,0.0736,19,0.9667,0.8859,-0.0808,Subject A,0.9167,12,10,0.8333,4,Monday,0.1333
470,ENHS_SYN_0018,Grade 7,Section A,300,279,21,0.93,0.07,19,0.94,0.92,-0.02,Subject C,0.8833,12,10,0.8333,3,Friday,0.1
471,ENHS_SYN_0117,Grade 7,Section C,300,279,21,0.93,0.07,19,0.9333,0.9267,-0.0067,Subject C,0.8833,12,10,0.8333,3,Monday,0.1
472,ENHS_SYN_0429,Grade 9,Section C,298,277,21,0.9295,0.0705,19,0.9396,0.9195,-0.0201,Subject E,0.8833,12,10,0.8333,5,Monday,0.1167
473,ENHS_SYN_0532,Grade 10,Section B,299,278,21,0.9298,0.0702,20,0.92,0.9396,0.0196,Subject C,0.9,12,10,0.8333,2,Monday,0.1333
474,ENHS_SYN_0199,Grade 8,Section A,300,280,20,0.9333,0.0667,17,0.9267,0.94,0.0133,Subject E,0.8333,12,10,0.8333,4,Friday,0.1
475,ENHS_SYN_0299,Grade 8,Section C,300,280,20,0.9333,0.0667,16,0.9133,0.9533,0.04,Subject E,0.8833,12,10,0.8333,3,Friday,0.1
476,ENHS_SYN_0342,Grade 9,Section A,299,279,20,0.9331,0.0669,17,0.9128,0.9533,0.0406,Subject C,0.9167,12,10,0.8333,4,Friday,0.1017
477,ENHS_SYN_0383,Grade 9,Section B,298,278,20,0.9329,0.0671,18,0.9459,0.92,-0.0259,Subject A,0.8814,12,10,0.8333,2,Monday,0.1
478,ENHS_SYN_0549,Grade 10,Section B,299,279,20,0.9331,0.0669,20,0.9195,0.9467,0.0272,Subject B,0.9,12,10,0.8333,4,Monday,0.1
